Goals,Knowledge Sought,Time Commitment,Communication,Qualities in Mentor,Outcomes,Importance Rating
Starting a business,Career advice,Monthly,Virtual,Experience,Career growth,Not Important
Starting a business,Industry trends,Monthly,Email,Empathy,Increased confidence,Moderately Important
Advancing career,Technical skills,Ad-hoc,Email,Experience,Career growth,Extremely Important
Developing skills,Networking,Monthly,Virtual,Experience,Career growth,Slightly Important
Advancing career,Networking,Weekly,Virtual,Communication,Career growth,Slightly Important
Developing skills,Industry trends,Monthly,Email,Feedback,Increased confidence,Moderately Important
Starting a business,Industry trends,Bi-weekly,Email,Communication,Increased confidence,Slightly Important
Starting a business,Technical skills,Ad-hoc,Phone,Communication,Career growth,Not Important
Starting a business,Networking,Weekly,Phone,Communication,Career growth,Extremely Important
Transitioning career,Networking,Ad-hoc,Virtual,Communication,Expanded network,Very Important
Developing skills,Networking,Bi-weekly,Phone,Empathy,Career growth,Slightly Important
Transitioning career,Career advice,Bi-weekly,In-person,Feedback,Expanded network,Not Important
Transitioning career,Networking,Bi-weekly,Phone,Experience,Career growth,Very Important
Advancing career,Career advice,Monthly,Phone,Experience,Expanded network,Extremely Important
Transitioning career,Technical skills,Monthly,In-person,Feedback,Increased confidence,Very Important
Advancing career,Career advice,Ad-hoc,Virtual,Experience,Career growth,Not Important
Advancing career,Technical skills,Ad-hoc,In-person,Feedback,Career growth,Very Important
Transitioning career,Networking,Weekly,Phone,Experience,Career growth,Moderately Important
Developing skills,Networking,Weekly,Virtual,Communication,Career growth,Very Important
Developing skills,Technical skills,Ad-hoc,Phone,Experience,Expanded network,Slightly Important
Developing skills,Industry trends,Monthly,In-person,Feedback,Career growth,Slightly Important
Developing skills,Technical skills,Bi-weekly,In-person,Feedback,Increased confidence,Moderately Important
Developing skills,Industry trends,Ad-hoc,Phone,Feedback,Increased confidence,Not Important
Transitioning career,Career advice,Weekly,Email,Feedback,Career growth,Slightly Important
Transitioning career,Career advice,Monthly,Email,Feedback,Increased confidence,Extremely Important
Starting a business,Career advice,Ad-hoc,In-person,Empathy,Career growth,Slightly Important
Developing skills,Networking,Ad-hoc,In-person,Empathy,Career growth,Slightly Important
Transitioning career,Career advice,Monthly,Email,Experience,Increased confidence,Not Important
Starting a business,Industry trends,Ad-hoc,Email,Feedback,Career growth,Very Important
Developing skills,Career advice,Monthly,Phone,Experience,Increased confidence,Slightly Important
Advancing career,Technical skills,Bi-weekly,Phone,Feedback,Expanded network,Moderately Important
Starting a business,Technical skills,Monthly,Email,Feedback,Career growth,Very Important
Transitioning career,Networking,Monthly,Phone,Empathy,Expanded network,Extremely Important
Advancing career,Technical skills,Monthly,Phone,Empathy,Increased confidence,Not Important
Advancing career,Industry trends,Ad-hoc,Virtual,Communication,Expanded network,Extremely Important
Advancing career,Career advice,Ad-hoc,Phone,Empathy,Expanded network,Very Important
Starting a business,Networking,Monthly,In-person,Communication,Increased confidence,Very Important
Transitioning career,Career advice,Ad-hoc,Phone,Communication,Expanded network,Very Important
Advancing career,Career advice,Weekly,Phone,Communication,Expanded network,Extremely Important
Developing skills,Industry trends,Weekly,Email,Communication,Increased confidence,Very Important
Advancing career,Technical skills,Ad-hoc,In-person,Communication,Expanded network,Extremely Important
Advancing career,Technical skills,Ad-hoc,Phone,Experience,Increased confidence,Very Important
Starting a business,Career advice,Monthly,Phone,Empathy,Expanded network,Moderately Important
Starting a business,Networking,Bi-weekly,Virtual,Communication,Increased confidence,Very Important
Transitioning career,Technical skills,Ad-hoc,Phone,Feedback,Increased confidence,Extremely Important
Developing skills,Networking,Weekly,Phone,Empathy,Expanded network,Slightly Important
Starting a business,Technical skills,Monthly,Virtual,Empathy,Expanded network,Very Important
Advancing career,Networking,Ad-hoc,Email,Communication,Expanded network,Slightly Important
Transitioning career,Industry trends,Weekly,Phone,Experience,Career growth,Moderately Important
Advancing career,Networking,Weekly,Virtual,Communication,Career growth,Not Important
